"U.S. AMERICAN 
LIFT-SERVED 
Spout Springs,U.S. - Oregon,610,,,200,118,,,Independent,,,,,,,,N/A,N/A,Y-N/A,No,No,No,No,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,Last operated 2017-18 season; Forest Service is currently seeking operator; Anthony Lakes has expressed interest
Timberline Lodge (Inc. Summit),U.S. - Oregon,"4,540",,,"1,685",540,,,Independent,,,[Summit],,,Powder Alliance,Powder Alliance 3B,Yes,No,Yes,No,Yes,Yes,,,,,,,N/A,N/A,N/A,N/A,$849,"$1,049",N/A,Yes,
Warner Canyon,U.S. - Oregon,"1,080",,,200,50,,,Independent,,,,,,,,Yes,No,Yes,No,No,Yes,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,Track operations via Facebook page.
Willamette Pass,U.S. - Oregon,"1,563",,,555,430,,,Mountain Capital Partners,2022,,,,,Power,Power/Select U | Core UB,Yes,No,Yes,No,Yes,Yes,,$549,$549,NO,N/A,YES,$549,$599,No,N/A,$549,$899,Yes,Yes,Access details here.
OR,,,,,"12,439",,,,,,,,,,,,11,0,10,1,10,11,,,,,,,,,,,,,,5,
PENNSYLVANIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear Creek,U.S. - Pennsylvania,500,,,86,30,Yes,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2",Yes,No,Yes,No,Yes,Yes,,,,,,,$425,$425,$399,N/A,$390,$519,Yes,Yes,
Big Boulder,U.S. - Pennsylvania,475,,,55,50,Yes,,Vail Resorts,2019,,,,,Epic,Epic/Local/NE V U | NE M UM | All/32/22,Yes,No,Yes,No,Yes,Yes,,$642,$642,NO,N/A,NO,$600,$613,No,N/A,$555,$603,No,Yes,Access details here
Blue Knob,U.S. - Pennsylvania,"1,073",,,100,120,Yes,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2",Yes,No,Yes,No,Yes,Yes,,,,,,,$429,$465,N/A,N/A,$369,$605,N/A,Yes,
Blue Mountain PA,U.S. - Pennsylvania,"1,140",,,164,33,Yes,,KSL Resorts,2021,,,,,Ikon,Ikon 7 | Base 5B | Session B,Yes,No,Yes,No,Yes,Yes,,,,,,,$699,$799,N/A,10/4,$675,$799,Yes,Yes,Upgrade to Peak-to-Peak Poconos Pass to add unlimited Camelback access.
Boyce Park,U.S. - Pennsylvania,160,,,25,36,Yes,,Independent,,,,,,,,Yes,No,Yes,No,Yes,Yes,,,,,,,N/A,N/A,N/A,N/A,$281*,$313*,N/A,Yes,*Resident pass is discounted
Camelback,U.S. - Pennsylvania,850,,,160,50,Yes,,KSL Resorts,2019,,,,,Ikon,Ikon 7 | Base 5B | Session B,Yes,No,Yes,No,Yes,Yes,,$599,$599,NO,3/13,YES,$599,$689,N/A,6/30,$649,$719,N/A,Yes,Upgrade to Peak-to-Peak Poconos Pass to add unlimited Blue Mountain PA access.
Eagle Rock,U.S. - Pennsylvania,550,,,,N/A,,,Independent,,,,,,,,No,Yes,Yes,No,Yes,Yes,,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,No,Private ski area for residents of Eagle Rock. Track operations via Facebook page.
Elk Mountain,U.S. - Pennsylvania,"1,000",,,140,65,Yes,,Independent,,,,,,,,Yes,No,Yes,No,Yes,Yes,,,,,,,N/A,N/A,N/A,N/A,$920,"$1,050",N/A,Yes,
Hidden Valley PA,U.S. - Pennsylvania,470,,,110,140,Yes,,Vail Resorts,2021,,,,,Epic,Epic/Local/NE V U | NE M UM | All/32/22,Yes,No,Yes,No,Yes,Yes,,$642,$642,NO,N/A,NO,$600,$613,No,N/A,$555,$603,No,Yes,Access details here
Jack Frost,U.S. - Pennsylvania,600,,,100,50,Yes,,Vail Resorts,2019,,,,,Epic,Epic/Local/NE V U | NE M UM | All/32/22,Yes,No,Yes,No,Yes,Yes,,$642,$642,NO,N/A,NO,$600,$613,No,N/A,$555,$603,No,Yes,Access details here
Laurel,U.S. - Pennsylvania,761,,,70,41,Yes,,Vail Resorts,2021,,,,,Epic,Epic/Local/NE V U | NE M UM | All/32/22,Yes,No,Yes,No,Yes,Yes,,$642,$642,NO,N/A,NO,$600,$613,No,N/A,$555,$603,No,Yes,Access details here
Liberty,U.S. - Pennsylvania,620,,,100,31,Yes,,Vail Resorts,2019,,,,,Epic,Epic/Local/NE V U | NE M UM | All/32/22,Yes,No,Yes,No,Yes,Yes,,$642,$642,NO,N/A,NO,$600,$613,No,N/A,$555,$603,No,Yes,Access details here
Locust Lake Village,U.S. - Pennsylvania,150,,,,N/A,,,Independent,,,,,,,,No,Yes,No,Yes,Yes,Yes,,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,No,Private ski area for residents of Locust Lake Village. Track operations via Facebook page.
Montage,U.S. - Pennsylvania,"1,000",,,140,47,Yes,,Independent,,,Snö Mountain,,,Indy,"Indy+ 2, Indy Base 2",Yes,No,Yes,No,Yes,Yes,,$399,$499,NO,3/31,YES,$399,$499,No,10/14,$549,$699,N/A,Yes,
Mount Pleasant,U.S. - Pennsylvania,320,,,35,150,Yes,,Independent,,,,,,,,Yes,No,Yes,No,Yes,Yes,,,,,,,$350,$350,N/A,N/A,$350,$350,N/A,Yes,
Mystic Mountain (Nemacolin),U.S. - Pennsylvania,600,,,27,31,,,Independent,,,,,,,,No,Yes,Yes,No,Yes,Yes,,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,No,Private ski area for guests of this pretentious resort
Pocono Ranchlands,U.S. - Pennsylvania,295,,,,N/A,,,Independent,,,,,,,,No,Y-N/A,Y-N/A,No,No,Uncertain,,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,No,Private ski area for residents of Pocono Ranchlands; not enough snow to operate for 23/24; track operations via Facebook page; open only for sledding so far in 2024-25
Roundtop,U.S. - Pennsylvania,600,,,103,30,Yes,,Vail Resorts,2019,,,,,Epic,Epic/Local/NE V U | NE M UM | All/32/22,Yes,No,Yes,No,Yes,Yes,,$642,$642,NO,N/A,NO,$600,$613,No,N/A,$555,$603,No,Yes,Access details here.
Saw Creek,U.S. - Pennsylvania,N/A,,,,N/A,,,Independent,,,,,,,,No,Yes,Yes,No,Yes,Yes,,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,No,Private ski area for residents of Saw Creek Estates
Seven Springs,U.S. - Pennsylvania,754,,,285,135,Yes,,Vail Resorts,2021,,,,,Epic,Epic/Local/NE V U | NE M UM | All/32/22,Yes,No,Yes,No,Yes,Yes,,$642,$642,NO,N/A,NO,$600,$613,No,N/A,$555,$603,No,Yes,Access details here.
Shawnee Mountain,U.S. - Pennsylvania,700,,,120,50,Yes,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2B",Yes,No,Yes,No,Yes,Yes,,,,,,,N/A,N/A,N/A,OS-7/1,$435,$539,N/A,Yes,View reciprocal partners here.
Ski Big Bear,U.S. - Pennsylvania,650,,,26,50,Yes,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2B",Yes,No,Yes,No,Yes,Yes,,$400,$400,$375,9/29,YES,$400,$400,$375,11/4,$390,$390,No,Yes,
Ski Denton,U.S. - Pennsylvania,650,,,75,80,Yes,,Independent,,,,,,,,N/A,No,Y-N/A,No,No,No,No,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Summer,Last operated 2014; State of PA contracted Denton Go in 2023 to revitalize ski area
Ski Sawmill,U.S. - Pennsylvania,515,,,15,24,Yes,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2",Yes,No,Yes,No,Yes,Yes,,,,,,,N/A,N/A,N/A,N/A,$449,$499,N/A,Yes,
Skytop Lodge,U.S. - Pennsylvania,295,,,,N/A,Yes,,Independent,,,,,,,,N/A,N/A,N-N/A,w/o Lifts,w/o Lifts,w/o Lifts,,NO PASS,NO PASS,NO PASS,NO PASS,,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,Yes,Removed Poma lift sometime between 2020 and 2024; shuttle skiers to summit in side-by-sides
Spring Mountain,U.S. - Pennsylvania,449,,,45,27,Yes,,Independent,,,,,,,,Yes,No,Yes,No,Yes,Yes,,,,,,,$360,$370,No,5/31,$345,$460,Yes,Yes,
The Hideout,U.S. - Pennsylvania,131,,,,N/A,,,Independent,,,,,,,,No,Yes,Yes,No,Yes,Yes,,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,No,Private ski area for residents of The Hideout housing development
Tussey,U.S. - Pennsylvania,520,,,38,41,Yes,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2B",Yes,No,Yes,No,Yes,Yes,,,,,,,$429,$579,No,FINAL PRICE,$439,$569,N/A,Yes,
Whitetail,U.S. - Pennsylvania,935,,,109,40,Yes,,Vail Resorts,2019,,,,,Epic,Epic/Local/NE V U | NE M UM | All/32/22,Yes,No,Yes,No,Yes,Yes,,$642,$642,NO,N/A,NO,$600,$613,No,N/A,$555,$603,No,Yes,Access details here
PA,,,,,2128,,,,,,,,,,,,21,5,25,1,26,26,,,,,,,,,,,,,,22,
RHODE ISLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yawgoo,U.S. - Rhode Island,240,,,36,39,Yes,,Independent,,,,,,Freedom,Freedom 3,Yes,No,Yes,No,Yes,Yes,,,,,,,$529,$569,No,N/A,$569,$569,No,Yes,
RI,,,,,36,,,,,,,,,,,,1,0,1,0,1,1,,,,,,,,,,,,,,1,
SOUTH DAKOTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deer Mountain,U.S. - South Dakota,800,,,200,150,Yes,,Independent,,,,,,,,No,Yes,Yes,No,Yes,Yes,,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,No,Private ski area for local homeowners
Great Bear,U.S. - South Dakota,190,,,20,49,Yes,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2",Yes,No,Yes,No,Yes,Yes,,$275.00,$275.00,$247.50,3/31,NO,N/A,N/A,N/A,N/A,$265,$330,N/A,No,View reciprocal partner list here
Terry Peak,U.S. - South Dakota,"1,100",,,450,150,Yes,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2B",Yes,No,Yes,No,Yes,Yes,,,,,,,$462.97,$462.97,N/A,10/31,$425,$800,N/A,No,
SD,,,,,670,,,,,,,,,,,,2,1,3,0,3,3,,,,,,,,,,,,,,0,
TENNESSEE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ober Mountain,U.S. - Tennessee,600,,,38,35,Yes,,Independent,,,Ober Gatlinburg,,,Indy,"Indy+ 2, Indy Base 2",Yes,No,Yes,No,Yes,Yes,,,,,,,N/A,N/A,N/A,N/A,$299,$399,N/A,Summer,
TN,,,,,38,,,,,,,,,,,,1,0,1,0,1,1,,,,,,,,,,,,,,0,
UTAH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alta,U.S. - Utah,"2,538","8,530","11,068","2,614",540,Yes,,Independent,,"2,200",,,,"Ikon, Mountain Collective","Ikon 7S, MC 2",Yes,No,Yes,No,Yes,Yes,,,,,,,"$1,379","$1,649",N/A,N/A,"$1,269","$1,599",N/A,Yes,"Ikon Base Pass add-on available; includes 1 day each at Snowbird, Brighton, Deer Valley"
Beaver Mountain,U.S. - Utah,"1,700","7,100","8,800",880,400,No,,Independent,,464,,,,Indy,"Indy+ 2, Indy Base 2B",Yes,No,Yes,No,Yes,Yes,,$680,$680,$550,4/15,NO,$600,$800,$525,11/30,$600,$900,No,No,
Brian Head,U.S. - Utah,"1,320","9,600","10,920",650,360,,,Mountain Capital Partners,2019,500,,,,Power,Power/Select U | Core 4SB,Yes,No,Yes,No,Yes,Yes,,$549,$549,NO,N/A,YES,$549,$799,No,N/A,$549,$899,Yes,No,Access details here.
Brighton,U.S. - Utah,"1,745","8,755","10,500","1,050",500,,,Boyne Resorts,1986,850,,,,"Ikon, New England Pass","Ikon 7 | Base 5B | Session B, NE Gold 3",Yes,No,Yes,No,Yes,Yes,,"$1,149","$1,149","$1,099",,YES,"$1,099","$1,199","$1,049",10/22,"$1,049","$1,199",N/A,Yes,"3 days each at Big Sky, Summit at Snoqualmie, Cyrpress, Boyne Mountain, Highlands at Harbor Springs, Loon, Sugarloaf, Sunday River, Pleasant Mountain; 1 day each at Deer Valley, Alta, Snowbird; Ikon Base Pass add-on available."
Buckskin,U.S. - Utah,80,N/A,N/A,10,N/A,,,Independent,,,,,,,,Yes,No,No,Yes,Yes,Yes,,,,,,,$50,$50,N/A,N/A,$50,$50,N/A,No,
Cherry Peak,U.S. - Utah,"1,265","5,775","7,050",400,320,,,Independent,,,,,,"Indy Allied, Freedom","""25% weekend/holiday, 50% weekday discount"", Freedom 3",Yes,No,Yes,No,Yes,Yes,,$299,$299,NO,N/A,NO,$269,$399,N/A,11/1,$269,$349,N/A,No,View reciprocal partners here.
Deer Valley,U.S. - Utah,"3,040","6,530","9,590","2,342",300,Yes,,Alterra ,2017,"1,100",,,,Ikon,Ikon 7,Yes,No,Yes,No,Yes,Yes,,"$3,700","$3,700","$3,400",OS-3/13,NO,"$3,180","$3,990",N/A,N/A,"$2,890","$3,525",N/A,Yes,"Ikon Base Pass add-on available; 1 day each at Alta, Brighton, and Snowbird"
Eagle Point,U.S. - Utah,"1,500","9,100","10,600",650,350,,,Independent,,345,Elk Meadows,,,Indy,"Indy+ 2, Indy Base 2",Yes,No,Yes,No,Yes,Yes,,$499,$499,NO,4/30,NO,$499,$549,No,11/1,$549,$599,N/A,No,View reciprocal partners here.
Gateway Parks Salt Lake,U.S. - Utah,N/A,N/A,N/A,,N/A,,,Gateway,N/A,,,,,,,N/A,N/A,N-N/A,Y-N/A,No,No,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,
Gateway Spanish Forks,U.S. - Utah,N/A,N/A,N/A,,N/A,,,Gateway,N/A,,,,,,,Yes,No,No,Yes,Yes,Yes,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,
Nordic Valley,U.S. - Utah,"1,695","5,365","7,060",450,300,Yes,,Mountain Capital Partners,2018,85,,,,Power,Power/Select U | Core UB,Yes,No,Yes,No,Yes,Yes,,$549,$549,NO,N/A,YES,$549,$799,No,N/A,$549,$899,Yes,Yes,Access details here.
Park City,U.S. - Utah,"3,226","6,800","10,026","7,300",355,Yes,,Vail Resorts,2013,"3,050",[Canyons (Wolf Mountain)],https://skimap.org/skiareas/view/229,,Epic,Epic U | Local UB | Tahoe L 5SB | Day All,Yes,No,Yes,No,Yes,Yes,,"$1,051","$1,051",NO,N/A,NO,$982,"$1,047",No,N/A,$909,"$1,025",No,Yes,"1994 acreage includes Canyons, then known as Wolf Mountain"
Powder Mountain,U.S. - Utah,"1,995","6,905","8,900","5,000",360,,,Independent,,"1,600",,,,,,Yes,No,Yes,No,Yes,Yes,,"$1,499","$1,499","$1,399",4/24,NO,"$1,499","$1,649",No,N/A,"$1,259",N/A (last $1259),N/A,Yes,
Snowbasin,U.S. - Utah,"3,149","6,316","9,465","3,000",300,,,Holding Family,1984,"1,800",,,,"Ikon, Mountain Collective, Left Epic","Ikon 7, MC 2",Yes,No,Yes,No,Yes,Yes,,"$1,239","$1,239",NO,N/A,YES,"$1,129","$1,459",N/A,N/A,"$1,099","$1,749",Yes,Yes,Ikon Base Pass add-on available; 5 days at Sun Valley
Snowbird,U.S. - Utah,"3,240","7,760","11,000","2,500",500,,,Powdr,2014,"2,000",,,,"Ikon, Mountain Collective","Ikon 7S | Base 5B | Session B, MC 2",Yes,No,Yes,No,Yes,Yes,,"$1,439","$1,439",NO,OS-3/26,,"$1,329","$1,599",$1279 (ended),6/5,"$1,219","$1,549",Yes,Yes,"Ikon Base Pass add-on available; 1 day each at Alta, Brighton, Deer Valley"
Solitude,U.S. - Utah,"2,041","7,994","10,035","1,200",500,,,Alterra ,2018,"1,100",,,,Ikon,Ikon/Base U | Session B,Yes,No,Yes,No,Yes,Yes,,$909,$909,$859,N/A,YES,"$1,249","$1,449","$1,149 (ended)",N/A,"$1,159","$1,309",Y-select mtns,Yes,Access details here
Sundance,U.S. - Utah,"2,150","6,100","8,250",450,300,,,Independent,,450,,,,,,Yes,No,Yes,No,Yes,Yes,,,,,,,$749,$849,N/A,N/A,$719,$849,N/A,Yes,View reciprocal partners here.
Utah Olympic Park,U.S. - Utah,N/A,N/A,N/A,,N/A,,,Independent,,,,,,,,No,Yes,Yes,No,Yes,Yes,,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,No,Designated U.S. Olympic traing site
Wasatch Peaks Ranch,U.S. - Utah,"2,300",N/A,N/A,"3,000",400,,,Independent,,,,,,,,No,Yes,Yes,No,Yes,Yes,,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,No,Private ski area
Woodward Park City,U.S. - Utah,349,"6,463","6,812",,150,,,Powdr,2000,,,,,,,Yes,No,Yes,No,Yes,Yes,,NO PASS,NO PASS,NO PASS,NO PASS,,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,No,Does not offer winter season pass; monthly year-round memberships available
UT,,,,,"31,496",,,,,,,,,,,,17,2,17,2,19,19,,,,,,,,,,,,,,10,
VERMONT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77 Winter Sports Park,U.S. - Vermont,90,,,,N/A,,,Independent,,,,,,,,No,Yes,No,Yes,Yes,Yes,,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,No,Private ski area for Vermont Academy
Ascutney,U.S. - Vermont,450,,,26,N/A,,,Independent,,,,,,,,Yes,No,No,Yes,Yes,Yes,,,,,,,N/A,N/A,N/A,N/A,$100,$100,N/A,No,
Bellows Falls,U.S. - Vermont,200,,,,N/A,,,Independent,,,,,,,,Yes,No,No,Yes,No,Yes,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,Last operated for 2020-21 ski season prior to February 2025; natural snow only
Bolton Valley,U.S. - Vermont,"1,701",,,300,300,,,Independent,,,,,,"Indy, Uphill New England","Indy+ 2, Indy Base 2",Yes,No,Yes,No,Yes,Yes,,,,,,,$749,$849,No,N/A,$699,$899,Yes,Yes,
Brattleboro,U.S. - Vermont,204,,,8,N/A,,,Independent,,,,,,,,Yes,No,No,Yes,Yes,Yes,,,,,,,N/A,N/A,N/A,N/A,$75,$75,N/A,Yes,Track operations via Facebook page.
Bromley,U.S. - Vermont,"1,334",,,178,145,Yes,,Fairbank Group,2011,,,,,Uphill New England,,Yes,No,Yes,No,Yes,Yes,,,,,,,$825,$875,No,10/14,$799,$899,Yes,Yes,1 day each at Jiminy Peak and Cranmore
Burke,U.S. - Vermont,"2,011",,,178,217,Yes,,Independent,,,Q Burke,,,Indy,"""Indy+ 2, Indy Base 2""",Yes,No,Yes,No,Yes,Yes,,,,,,,$669,$669,No,6/23,$659,"$1,029",N/A,Yes,
Cochran’s,U.S. - Vermont,350,,,15,150,,,Independent,,,,,,,,Yes,No,No,Yes,Yes,Yes,,,,,,,N/A,N/A,N/A,N/A,$195,$195,N/A,No,
Hard'Ack,U.S. - Vermont,100,,,,N/A,,,Independent,,,,,,,,Yes,No,No,Yes,Yes,Yes,,NO PASS,NO PASS,NO PASS,NO PASS,,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,No,Does not offer season pass - free anytime
Harrington Hill,U.S. - Vermont,160,,,,N/A,,,Independent,,,,,,,,No,Yes,No,Yes,Yes,Yes,,NO PASS,NO PASS,NO PASS,NO PASS,,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,Summer,"Does not offer season pass - free anytime; located on route 132 in South Strafford, Vermont; GPS: Barrett Memorial Hall at 248 Route 132"
Hermitage Club,U.S. - Vermont,"1,400",,,200,N/A,Yes,,Independent,,,Haystack,,,,,No,Yes,Yes,No,Yes,Yes,,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,Yes,Private club
Jay Peak,U.S. - Vermont,"2,153",,,385,349,Yes,,Pacific Group Resorts,2022,,,,,Indy,"Indy+ 2, Indy Base 2",Yes,No,Yes,No,Yes,Yes,,$799,$799,N/A,4/27,YES,$799,"$1,149",No,10/14,$759,"$1,079",Yes,Yes,"Unlimited non-holiday access to Ragged, Wisp, Wintergreen, Powderhorn CO; 7 days access to Mount Washington Alpine BC"
Killington,U.S. - Vermont,"3,000",,,"1,509",250,Yes,,Phill Gross,2024,,,,,"Ikon, Uphill New England",Ikon 7S | Base 5SB | Session B,Yes,No,Yes,No,Yes,Yes,,"$1,299","$1,299",NO,6/19,NO,"$1,259","$1,439",No,N/A,"$1,199","$1,699",N/A,Yes,Unlimited Pico; upgrade to Beast 365 Pass for Ikon Base Pass
Lyndon Outing Club,U.S. - Vermont,433,,,18,N/A,,,Independent,,,,,,,,Yes,No,No,Yes,No,Yes,,NO PASS,NO PASS,NO PASS,NO PASS,,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,No,Not enough snow to open for 23/24; re-opened for 24/25; Does not offer season pass; 6-visit punch card $50
Mad River Glen,U.S. - Vermont,"2,037",,,115,250,Yes,,Independent,,,,,,,,Yes,No,Yes,No,Yes,Yes,,$899,$899,NO,4/14,NO,$859,$959,N/A,9/30,$829,"$1,029",N/A,Yes,
Magic Mountain,U.S. - Vermont,"1,500",,,205,130,Yes,,Independent,,,,,,"Indy, Uphill New England","Indy+ 2, Indy Base 2",Yes,No,Yes,No,Yes,Yes,,$699,$699,NO,6/14,NO,$699*,$699*,N/A,9/30,$699*,$899*,N/A,Yes,*Vermont resident pass is substantially discounted
Middlebury Snowbowl,U.S. - Vermont,"1,000",,,110,200,Yes,,Independent,,,,,,"Indy, Uphill New England","Indy+ 2, Indy Base 2",Yes,No,Yes,No,Yes,Yes,,$499,$499,NO,3/15,YES,$499,$499,N/A,N/A,$474,$674,N/A,Yes,
Mount Snow,U.S. - Vermont,"1,700",,,601,150,Yes,,Vail Resorts,2019,,[Carinthia],,,Epic,Epic/Local U | NE V UB | NE M UMB | Day All/32,Yes,No,Yes,No,Yes,Yes,,$783,$783,NO,N/A,NO,$731,$746,No,N/A,$676,$795,No,Yes,Access details here
Northeast Slopes,U.S. - Vermont,360,,,,N/A,,,Independent,,,,,,,,Yes,No,No,Yes,Yes,Yes,,,,,,,N/A,N/A,N/A,N/A,$150,$150,N/A,Yes,Track operations via Facebook page.
Okemo,U.S. - Vermont,"2,200",,,632,120,Yes,,Vail Resorts,2018,,,,,Epic,Epic/Local U | NE V UB | NE M UMB | Day All/32,Yes,No,Yes,No,Yes,Yes,,$783,$783,NO,N/A,NO,$731,$746,No,N/A,$676,$795,No,Yes,Access details here
Pico,U.S. - Vermont,"1,967",,,468,250,Yes,,Phill Gross,2024,,,,,"Ikon, Uphill New England",Ikon 7S | Base 5SB | Session B,Yes,No,Yes,No,Yes,Yes,,$559,$559,NO,6/19,NO,$539,$539,N/A,6/20,$509,$719,N/A,Yes,
Quechee,U.S. - Vermont,650,,,,N/A,,,Independent,,,,,,,,Yes,No,Yes,No,Yes,Yes,,,,,,,$498.75,$498.75,N/A,N/A,$584.06*,$614.80,N/A,No,*Residents pass is discounted.
Smugglers' Notch,U.S. - Vermont,"2,610",,,"1,000",288,Yes,,Independent,,,,,,,,Yes,No,Yes,No,Yes,Yes,,,,,,,$599,$599,N/A,OS-Aug,$599,$699,N/A,Yes,
Stowe,U.S. - Vermont,"2,360",,,485,314,Yes,,Vail Resorts,2017,,,,,Epic,Epic U | Local UB | NE V 10B | NE M 5MB | Day All/32,Yes,No,Yes,No,Yes,Yes,,"$1,051","$1,051",NO,N/A,NO,$982,"$1,004",No,N/A,$909,"$1,025",No,Yes,Access details here
Stratton,U.S. - Vermont,"2,003",,,670,180,Yes,,Alterra ,2017,,,,,Ikon,Ikon U | Base UB | Session B,Yes,No,Yes,No,Yes,Yes,,"$1,329","$1,329","$1,229",N/A,YES,"$1,249","$1,359","$1,149 (ended)",N/A,"$1,159","$1,309",Y-select mtns,Yes,Access details here
Sugarbush,U.S. - Vermont,"2,600",,,581,250,Yes,,Alterra ,2019,,[Mt. Ellen],,,Ikon,Ikon U | Base UB | Session B,Yes,No,Yes,No,Yes,Yes,,"$1,329","$1,329","$1,229",N/A,YES,"$1,249","$1,359","$1,149 (ended)",N/A,"$1,159","$1,309",Y-select mtns,Yes,Access details here
Saskadena Six,U.S. - Vermont,650,,,100,90,Yes,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2",Yes,No,Yes,No,Yes,Yes,,,,,,,N/A,N/A,N/A,N/A,$529,$629,N/A,Yes,
Vermont Tech,U.S. - Vermont,100,,,,N/A,,,Independent,,,,,,,,No,Yes,No,Yes,Yes,Yes,,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,No,Private ski area for Vermont Tech
VT,,,,,7784,,,,,,,,,,,,24,4,18,10,26,28,,,,,,,,,,,,,,19,
VIRGINIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bryce,U.S. - Virginia,500,,,50,30,Yes,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2",Yes,No,Yes,No,Yes,Yes,,,,,,,N/A,N/A,N/A,N/A,$630*,N/A (last $630*),N/A,Yes,*Only members can purchase a season pass.
